City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
84,ostrovnoy,68.0531,39.5131,11.37,85,100,6.85,RU,1678052651
85,clyde river,70.4692,-68.5914,5.23,85,0,6.91,CA,1678052511
86,mar del plata,-38.0023,-57.5575,81.82,85,20,16.11,AR,1678052652
87,amontada,-3.3617,-39.8317,79.03,80,95,8.77,BR,1678052653
88,smidovich,48.6,133.8167,18.52,95,44,6.17,RU,1678052653
89,cadereyta,25.5833,-99.9833,83.12,29,1,14.5,MX,1678052654
90,hilo,19.7297,-155.09,80.26,73,20,5.99,US,1678052498
91,atuona,-9.8,-139.0333,80.35,79,13,15.1,PF,1678052655
92,bonthe,7.5264,-12.505,77.56,87,5,5.44,SL,1678052655
93,duluth,46.7833,-92.1066,41.05,57,0,6.91,US,1678052511
94,barrow,71.2906,-156.7887,5.02,78,100,26.46,US,1678052656
95,sattahip,12.6664,100.9007,80.98,88,0,4.61,TH,1678052656
96,yellowknife,62.456,-114.3525,-10.44,58,40,6.91,CA,1678052657
97,santa maria,-29.6842,-53.8069,83.5,58,40,2.3,BR,1678052657
98,tual,-5.6667,132.75,81.37,78,100,23.17,ID,1678052659
99,abu samrah,35.3029,37.1841,61.88,38,67,13.49,SY,1678052659
100,east london,-33.0153,27.9116,72.9,88,46,16.55,ZA,1678052517
101,sorong,-0.8833,131.25,80.22,72,100,6.42,ID,1678052660
102,agadez,19.75,10.25,81.25,8,99,7.2,NE,1678052660
103,ilulissat,69.2167,-51.1,30.22,69,20,1.14,GL,1678052661
104,zyryanka,65.75,150.85,-30.84,96,86,5.26,RU,1678052662
105,puerto ayora,-0.7393,-90.3518,85.96,92,56,5.99,EC,1678052662
106,mlimba,-8.8,35.8167,70.72,95,96,3.31,TZ,1678052663
107,erdenet,49.0333,104.0833,13.1,99,65,5.01,MN,1678052663
108,batemans bay,-35.7167,150.1833,70.11,73,5,4.79,AU,1678052664
109,tazovskiy,67.4667,78.7,-25.62,100,99,6.02,RU,1678052642
110,banda aceh,5.5577,95.3222,76.3,77,0,9.48,ID,1678052665
111,schwedt,53.0596,14.2815,33.24,74,78,4.14,DE,1678052665
112,tezu,27.9167,96.1667,69.4,39,55,3.36,IN,1678052637
113,lorengau,-2.0226,147.2712,81.7,74,70,3.67,PG,1678052666
114,vila velha,-20.3297,-40.2925,80.55,83,0,17.27,BR,1678052518
115,maragogi,-9.0122,-35.2225,80.56,70,84,11.68,BR,1678052667
116,kidal,18.4411,1.4078,81.9,9,94,10.6,ML,1678052667
117,badou,7.5833,0.6,79.09,72,45,3.49,TG,1678052668
118,maniitsoq,65.4167,-52.9,31.6,67,79,8.05,GL,1678052668
119,jamestown,42.097,-79.2353,40.51,80,100,9.22,US,1678052574
120,carnarvon,-24.8667,113.6333,76.53,65,0,19.93,AU,1678052550
121,kalmunai,7.4167,81.8167,77.18,84,17,8.46,LK,1678052669
122,arinos,-15.9169,-46.1056,78.82,39,57,2.37,BR,1678052670
123,monroe,43.1501,-77.6831,41.02,78,100,10.36,US,1678052378
124,cabo san lucas,22.8909,-109.9124,79.61,38,0,12.66,MX,1678052671
125,flin flon,54.7682,-101.865,3.04,47,20,10.36,CA,1678052523
126,ciamis,-7.3257,108.3534,71.62,98,100,0.09,ID,1678052671
127,bathsheba,13.2167,-59.5167,81.21,65,40,18.41,BB,1678052672
128,el bagre,7.5927,-74.8086,83.7,76,97,2.55,CO,1678052672
129,livingston,55.9029,-3.5226,38.88,87,40,1.14,GB,1678052673
130,constitucion,-35.3333,-72.4167,65.03,70,23,10.67,CL,1678052673
131,beloha,-25.1667,45.05,70.88,94,100,14.65,MG,1678052674
132,namibe,-15.1961,12.1522,72.36,66,9,4.16,AO,1678052671
133,klaksvik,62.2266,-6.589,29.32,70,100,31.52,FO,1678052675
134,touros,-5.1989,-35.4608,80.42,76,100,12.46,BR,1678052645
135,crossville,35.949,-85.0269,64.18,28,0,6.91,US,1678052675
136,kavieng,-2.5744,150.7967,81.34,72,100,3.36,PG,1678052629
137,havelock,34.8791,-76.9013,64.38,55,0,9.22,US,1678052676
138,yendi,9.4427,-0.0099,95.47,20,86,3.6,GH,1678052677
139,tasiilaq,65.6145,-37.6368,26.76,82,42,4.81,GL,1678052677
140,saint-philippe,-21.3585,55.7679,76.59,85,100,3.67,RE,1678052678
141,mazagao,-0.115,-51.2894,84.25,88,96,5.55,BR,1678052678
142,bicas,-21.7253,-43.0594,71.42,87,76,4.14,BR,1678052678
143,nioro,13.35,-15.75,79.02,32,38,9.13,GM,1678052679
144,fortuna,40.5982,-124.1573,47.35,57,40,10.36,US,1678052647
145,boende,-0.2167,20.8667,82.09,53,88,3.18,CD,1678052614
146,mto wa mbu,-3.35,35.85,71.55,57,79,7.78,TZ,1678052680
147,monte alegre,-2.0078,-54.0692,79.38,83,96,4.14,BR,1678052681
148,makakilo city,21.3469,-158.0858,78.62,69,0,8.05,US,1678052681
149,pevek,69.7008,170.3133,-32.03,100,100,8.9,RU,1678052682
150,auray,47.6703,-2.9918,43.75,76,99,5.82,FR,1678052682
151,morros,-9.4467,-46.3003,82.02,56,75,1.79,BR,1678052683
152,baruun-urt,46.6806,113.2792,22.35,93,72,8.63,MN,1678052683
153,arraial do cabo,-22.9661,-42.0278,80.56,65,75,18.41,BR,1678052684
154,cidreira,-30.1811,-50.2056,72.97,89,100,15.37,BR,1678052684
155,mataura,-46.1927,168.8643,53.47,58,31,4.07,NZ,1678052685
156,saldanha,-33.0117,17.9442,62.65,86,51,19.84,ZA,1678052685
157,caravelas,-17.7125,-39.2481,76.24,83,100,5.59,BR,1678052686
158,dudinka,69.4058,86.1778,-14.39,99,100,6.08,RU,1678052686
159,lysva,58.1086,57.8053,27.82,89,100,9.51,RU,1678052686
160,sorland,67.667,12.6934,28.26,62,100,23.8,NO,1678052687
161,airai,-8.9266,125.4092,58.5,94,89,2.39,TL,1678052522
162,gidrotorf,56.4744,43.5414,26.58,97,92,7.14,RU,1678052688
163,rio gallegos,-51.6226,-69.2181,50.05,81,75,14.97,AR,1678052688
164,dhidhdhoo,6.8833,73.1,81.86,77,51,16.06,MV,1678052689
165,kaitangata,-46.2817,169.8464,56.82,58,14,6.08,NZ,1678052689
166,nguruka,-5.1092,31.0419,66.11,95,100,3.2,TZ,1678052690
167,ponta do sol,32.6667,-17.1,68.63,82,67,7.27,PT,1678052690
168,petropavlovsk-kamchatskiy,53.0452,158.6483,1.99,72,75,4.47,RU,1678052691
169,saint-denis,48.9167,2.3333,42.15,76,100,5.75,FR,1678052691
170,corning,42.1428,-77.0547,41.58,79,100,11.18,US,1678052498
171,vestmanna,62.1564,-7.1664,27.52,74,100,26.46,FO,1678052692
172,saint-pierre,-21.3393,55.4781,78.91,88,100,4.61,RE,1678052489
173,nanortalik,60.1432,-45.2371,33.19,79,26,6.67,GL,1678052519
174,birjand,32.8663,59.2211,46.87,39,0,4.61,IR,1678052693
175,komsomolskiy,40.4272,71.7189,47.12,76,100,4.61,UZ,1678052693
176,faya,18.3851,42.4509,62.71,52,29,6.06,SA,1678052694
177,fujin,47.26,132.0322,26.46,90,97,6.22,CN,1678052694
178,qaqortoq,60.7167,-46.0333,31.03,76,13,8.57,GL,1678052688
179,saint anthony,45.0205,-93.218,38.98,51,100,12.66,US,1678052695
180,beyneu,45.3167,55.2,44.15,72,99,10.58,KZ,1678052696
181,aklavik,68.2191,-135.0107,-7.46,88,6,9.31,CA,1678052696
182,tall kayf,37.0833,41.0667,60.89,43,100,21.32,TR,1678052697
183,melfi,40.9965,15.6514,43.48,92,3,7.25,IT,1678052697
184,yenagoa,4.9247,6.2642,78.06,90,97,4.56,NG,1678052697
185,puro,12.4841,123.3827,74.43,84,23,9.71,PH,1678052698
186,sarh,9.1429,18.3923,76.91,20,0,0.0,TD,1678052698
187,sibolga,1.7427,98.7792,74.05,86,57,3.74,ID,1678052699
188,sinnamary,5.3833,-52.95,76.89,87,81,13.24,GF,1678052699
189,petrolia,42.8668,-82.1498,40.82,70,0,5.75,CA,1678052700
190,zhezkazgan,47.8043,67.7144,20.97,93,97,6.4,KZ,1678052700
191,luderitz,-26.6481,15.1594,62.26,91,0,9.64,NA,1678052701
192,liyang,29.7057,118.2862,49.46,62,0,0.69,CN,1678052701
193,yarada,17.65,83.2667,76.41,54,1,4.36,IN,1678052703
194,cherskiy,68.75,161.3,-29.15,98,98,6.69,RU,1678052703
195,yar-sale,66.8333,70.8333,-21.12,100,94,6.2,RU,1678052705
196,chuy,-33.6971,-53.4616,71.02,73,0,8.95,UY,1678052488
197,avarua,-21.2078,-159.775,86.05,79,40,17.27,CK,1678052706
198,teotitlan,18.1319,-97.0767,86.05,34,97,9.06,MX,1678052706
199,mangan,27.5167,88.5333,60.75,68,80,5.37,IN,1678052707
200,manokwari,-0.8667,134.0833,78.21,79,100,5.35,ID,1678052707
201,khuzdar,27.7384,66.6434,63.1,44,40,1.97,PK,1678052708
202,bakel,14.905,-12.4568,90.09,10,87,6.67,SN,1678052709
203,salalah,17.0151,54.0924,77.09,29,0,2.3,OM,1678052709
204,englewood,39.6478,-104.9878,57.31,18,40,12.66,US,1678052544
205,lazaro cardenas,17.9583,-102.2,81.27,62,27,10.56,MX,1678052710
206,coquimbo,-29.9533,-71.3436,69.53,73,20,11.5,CL,1678052711
207,norrtalje,59.758,18.705,26.02,90,88,8.12,SE,1678052711
208,castro,-24.7911,-50.0119,65.1,91,8,4.63,BR,1678052712
209,hovd,48.0056,91.6419,30.49,56,100,5.37,MN,1678052640
210,bethel,41.3712,-73.414,49.87,54,75,12.66,US,1678052713
211,praia da vitoria,38.7333,-27.0667,58.75,82,75,11.95,PT,1678052713
212,chokurdakh,70.6333,147.9167,-50.94,100,62,1.74,RU,1678052714
213,bemidji,47.4736,-94.8803,35.91,48,40,9.22,US,1678052693
214,new norfolk,-42.7826,147.0587,60.93,86,90,5.01,AU,1678052715
215,port lincoln,-34.7333,135.8667,63.05,72,42,15.48,AU,1678052715
216,sioux lookout,50.1001,-91.917,39.27,35,20,5.75,CA,1678052617
217,vardo,70.3705,31.1107,10.38,72,0,12.66,NO,1678052716
